media_id,date,time,type,product_type,caption_full,caption_len,likes,comments,permalink
18142439656466907,2026-06-08,00:02,Reel,REELS,"⁨	דובר צה""ל: ""איראן ביצעה טעות חמורה. אנו ערוכים לאפשרות של ירי נוסף""⁩",70,618,49,https://www.instagram.com/reel/DZTIyrUn1rF/
18197963275369412,2026-06-08,01:18,Photo,FEED,"⁨	הנשיא טראמפ לפייננשל טיימס: ""לנתניהו לא תהיה ברירה אלא לקבל עסקה עם איראן"". הנשיא האמריקני הוסיף שהתקיפה של איראן על ישראל ""לא שינתה את רצונו להסכם"" והדגיש: ""אני קובע, אני קובע את הכול. נתניהו לא קובע""  @ishay_bar_yosef  📸: AP/Oded Balilty⁩",242,501,83,https://www.instagram.com/p/DZTRj3GkdTD/
18127114000549172,2026-06-08,04:45,Photo,FEED,דובר צה״ל הודיע: חיל האוויר תקף מטרות צבאיות במערב ובמרכז איראן   (כרמלה מנשה)  📸: Yonatan Sindel/Flash90,105,1019,25,https://www.instagram.com/p/DZTpMhqi5nA/
18136995826496706,2026-06-08,06:05,Photo,FEED,⁨	אחרי התקיפה הישראלית באיראן: התרעות הופעלו במרכז ובשפלה - בעקבות טיל ששוגר מתימן ויורט בהצלחה   (אורלי אלקלעי) @haimgoldich  📸: Sharon Leibel/Flash90⁩,152,378,13,https://www.instagram.com/p/DZTyY2bCR6N/
17903554710434337,2026-06-08,08:27,Photo,FEED,"בזמן שצוותי הרפואה בהדסה עין כרם עמלו כדי להעביר את פגיית בית החולים למתחם תת-קרקעי מוגן, האמא והאבא - שהשתחרר רק לאחרונה מסבב מילואים שישי - הגיעו הבוקר כדי להיות לצד בנם התינוק  @haimgoldich  📸: דוברות בית החולים הדסה",219,1631,9,https://www.instagram.com/p/DZUCmVoljkS/
18082676657543833,2026-06-08,12:33,Photo,FEED,"ענקית הלואו-קוסט וויז אייר הודיעה, על רקע ההסלמה הביטחונית, על השעיית כל טיסותיה לישראל וממנה לפחות עד יום רביעי - והחשש בשוק התעופה הוא שמדובר רק בסנונית ראשונה.  במקביל, פיקוד העורף דורש להחמיר את ההגבלות בנתב""ג ולהגביל התקהלות של עד 2,500 איש. אם הדרישה תתקבל, מספר הטיסות יצומצם משמעותית, אם כי המרחב האווירי צפוי להישאר פתוח  @ofirhalperin  📸: AP Photo/Armando Franca",372,588,6,https://www.instagram.com/p/DZUexsYFveo/
17922106002364354,2026-06-08,12:46,Photo,FEED,"⁨	⁨	⁨	נשיא ארה""ב קרא לשני הצדדים, בפוסט שפרסם ב-Truth, לעצור את הירי ולחזור להפסקת אש  טראמפ הוסיף שמתנהל מו""מ ל""שלום"" אולם זה נתון לבורות או טיפשות שיעמדו בדרכו. עוד הוא כתב שהמצור יישאר בתוקף, עד שיושג הסכם סופי: ״דברים צריכים לנוע במהירות""  ‪‪‪@gilicohen10‪@roikais‬is‬is‬is 📸: AP Photo/Alex Brandon⁩⁩⁩",305,401,42,https://www.instagram.com/p/DZUgS8hljUe/
17978946648047467,2026-06-08,13:46,Reel,REELS,"דובר צה""ל פרסם תיעוד בצבע מרגע השמדת מערכות הגנה אוויריות באיראן, במהלך מטס תקיפה שביצע חיל האוויר במרכז ובמערב המדינה. בסרטון נראים פיצוצי משנה במערכות ששימשו לאחסון טילים, פעולה שלדברי צה""ל מרחיבה את העליונות האווירית של ישראל ומיועדת להסרת איומים על אזרחי המדינה  @roysharon11 @carmela_menashe  צילום: דובר צה""ל @",316,502,18,https://www.instagram.com/reel/DZUnFw8FeiS/
17886044556570062,2026-06-08,14:32,Photo,FEED,"דקות לאחר שטראמפ קרא לשני הצדדים להגיע להפסקת אש מיידית: מפקדת ""חאתם אל-אנביאא'"" האיראנית, המתאמת בין הצבא למשמרות המהפכה, הודיעה על השעיית הפעולות הצבאיות נגד ישראל.  עם זאת, האיראנים לא הסתירו את הכוונות שלהם להמשך. הם איימו כי אם ישראל תמשיך ב""תוקפנותה"", בדגש על פעולות בדרום לבנון, איראן לא תהסס לנקוט בצעדים ""חמורים ומרסקים הרבה יותר""  @itamar.margalit @liranaharoni_",372,805,54,https://www.instagram.com/p/DZUsYK_llzJ/
18067186523427373,2026-06-08,15:23,Photo,FEED,"ההסלמה נמשכת, גורם ישראלי: ״לא נתקוף עוד באיראן - רק בדרום לבנון״  אחרי שאיראן הודיעה על הפסקת השיגורים לעבר ישראל והזהירה מפני תקיפות ישראליות בלבנון, צה״ל תקף בעיר צור. בתגובה, חיזבאללה שיגר רקטות, שלטענת דובר צה״ל כוונו לעבר כוחותינו בדרום לבנון  בתוך כך, גורם ישראלי מאשר: ״צה״ל ינצור את האש באיראן - אך לא בדרום לבנון״  ‪‪‪‪@roysharon11‪@yuvalynbar‬ar‬ar‬ar‬ar⁩⁩⁩⁩",369,678,19,https://www.instagram.com/p/DZUx9lSCWSx/
